Algoritmo,CH,Silh,Tiempo,Número de clusters
KMeans,18.04,0.35,0.01,4
MeanShift,12.72,0.30,0.05,4
Ward,18.04,0.35,0.00,4
DBScan,6.60,0.19,0.00,2
Birch,16.51,0.29,0.00,5
